index,query,_id,_score,name,pathway,symbol,notfound
0,ENSG00000130707,445,19.113655,argininosuccinate synthase 1,"{'reactome': [{'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-70635', 'name': 'Urea cycle'}, {'id': 'R-HSA-71291', 'name': 'Metabolism of amino acids and derivatives'}]}",ASS1,
1,ENSG00000124440,64344,20.330833,hypoxia inducible factor 3 subunit alpha,"{'reactome': [{'id': 'R-HSA-1234158', 'name': 'Regulation of gene expression by Hypoxia-inducible Factor'}, {'id': 'R-HSA-1234174', 'name': 'Cellular response to hypoxia'}, {'id': 'R-HSA-1234176', 'name': 'Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha'}, {'id': 'R-HSA-1266738', 'name': 'Developmental Biology'}, {'id': 'R-HSA-2262752', 'name': 'Cellular responses to stress'}, {'id': 'R-HSA-392499', 'name': 'Metabolism of proteins'}, {'id': 'R-HSA-452723', 'name': 'Transcriptional regulation of pluripotent stem cells'}, {'id': 'R-HSA-597592', 'name': 'Post-translational protein modification'}, {'id': 'R-HSA-8951664', 'name': 'Neddylation'}, {'id': 'R-HSA-8953897', 'name': 'Cellular responses to external stimuli'}]}",HIF3A,
2,ENSG00000152642,23171,20.864864,glycerol-3-phosphate dehydrogenase 1 like,"{'reactome': [{'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-1483166', 'name': 'Synthesis of PA'}, {'id': 'R-HSA-1483206', 'name': 'Glycerophospholipid biosynthesis'}, {'id': 'R-HSA-1483257', 'name': 'Phospholipid metabolism'}, {'id': 'R-HSA-556833', 'name': 'Metabolism of lipids'}]}",GPD1L,
3,ENSG00000185813,5833,20.07324,"phosphate cytidylyltransferase 2, ethanolamine","{'reactome': [{'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-1483206', 'name': 'Glycerophospholipid biosynthesis'}, {'id': 'R-HSA-1483213', 'name': 'Synthesis of PE'}, {'id': 'R-HSA-1483257', 'name': 'Phospholipid metabolism'}, {'id': 'R-HSA-556833', 'name': 'Metabolism of lipids'}]}",PCYT2,
4,ENSG00000144810,1295,19.690887,collagen type VIII alpha 1 chain,"{'reactome': [{'id': 'R-HSA-1442490', 'name': 'Collagen degradation'}, {'id': 'R-HSA-1442490', 'name': 'Collagen degradation'}, {'id': 'R-HSA-1474228', 'name': 'Degradation of the extracellular matrix'}, {'id': 'R-HSA-1474228', 'name': 'Degradation of the extracellular matrix'}, {'id': 'R-HSA-1474244', 'name': 'Extracellular matrix organization'}, {'id': 'R-HSA-1474244', 'name': 'Extracellular matrix organization'}, {'id': 'R-HSA-1474290', 'name': 'Collagen formation'}, {'id': 'R-HSA-1650814', 'name': 'Collagen biosynthesis and modifying enzymes'}, {'id': 'R-HSA-2022090', 'name': 'Assembly of collagen fibrils and other multimeric structures'}, {'id': 'R-HSA-216083', 'name': 'Integrin cell surface interactions'}, {'id': 'R-HSA-8948216', 'name': 'Collagen chain trimerization'}]}",COL8A1,
7,ENSG00000189221,4128,19.113523,monoamine oxidase A,"{'reactome': [{'id': 'R-HSA-112310', 'name': 'Neurotransmitter release cycle'}, {'id': 'R-HSA-112311', 'name': 'Neurotransmitter clearance'}, {'id': 'R-HSA-112315', 'name': 'Transmission across Chemical Synapses'}, {'id': 'R-HSA-112316', 'name': 'Neuronal System'}, {'id': 'R-HSA-1280215', 'name': 'Cytokine Signaling in Immune system'}, {'id': 'R-HSA-140179', 'name': 'Amine Oxidase reactions'}, {'id': 'R-HSA-141333', 'name': 'Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB'}, {'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-1643685', 'name': 'Disease'}, {'id': 'R-HSA-168256', 'name': 'Immune System'}, {'id': 'R-HSA-181430', 'name': 'Norepinephrine Neurotransmitter Release Cycle'}, {'id': 'R-HSA-211859', 'name': 'Biological oxidations'}, {'id': 'R-HSA-211945', 'name': 'Phase I - Functionalization of compounds'}, {'id': 'R-HSA-379397', 'name': 'Enzymatic degradation of dopamine by COMT'}, {'id': 'R-HSA-379398', 'name': 'Enzymatic degradation of Dopamine by monoamine oxidase'}, {'id': 'R-HSA-379401', 'name': 'Dopamine clearance from the synaptic cleft'}, {'id': 'R-HSA-380612', 'name': 'Metabolism of serotonin'}, {'id': 'R-HSA-380615', 'name': 'Serotonin clearance from the synaptic cleft'}, {'id': 'R-HSA-449147', 'name': 'Signaling by Interleukins'}, {'id': 'R-HSA-5579012', 'name': 'Defective MAOA causes Brunner syndrome (BRUNS)'}, {'id': 'R-HSA-5579029', 'name': 'Metabolic disorders of biological oxidation enzymes'}, {'id': 'R-HSA-5668914', 'name': 'Diseases of metabolism'}, {'id': 'R-HSA-6785807', 'name': 'Interleukin-4 and Interleukin-13 signaling'}]}",MAOA,
8,ENSG00000131626,8500,20.506136,PTPRF interacting protein alpha 1,"{'reactome': [{'id': 'R-HSA-112310', 'name': 'Neurotransmitter release cycle'}, {'id': 'R-HSA-112315', 'name': 'Transmission across Chemical Synapses'}, {'id': 'R-HSA-112316', 'name': 'Neuronal System'}, {'id': 'R-HSA-181429', 'name': 'Serotonin Neurotransmitter Release Cycle'}, {'id': 'R-HSA-181430', 'name': 'Norepinephrine Neurotransmitter Release Cycle'}, {'id': 'R-HSA-210500', 'name': 'Glutamate Neurotransmitter Release Cycle'}, {'id': 'R-HSA-212676', 'name': 'Dopamine Neurotransmitter Release Cycle'}, {'id': 'R-HSA-264642', 'name': 'Acetylcholine Neurotransmitter Release Cycle'}, {'id': 'R-HSA-388844', 'name': 'Receptor-type tyrosine-protein phosphatases'}, {'id': 'R-HSA-6794362', 'name': 'Protein-protein interactions at synapses'}]}",PPFIA1,
9,ENSG00000185339,6948,19.986887,transcobalamin 2,"{'reactome': [{'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-1643685', 'name': 'Disease'}, {'id': 'R-HSA-196741', 'name': 'Cobalamin (Cbl, vitamin B12) transport and metabolism'}, {'id': 'R-HSA-196849', 'name': 'Metabolism of water-soluble vitamins and cofactors'}, {'id': 'R-HSA-196854', 'name': 'Metabolism of vitamins and cofactors'}, {'id': 'R-HSA-3296469', 'name': 'Defects in cobalamin (B12) metabolism'}, {'id': 'R-HSA-3296482', 'name': 'Defects in vitamin and cofactor metabolism'}, {'id': 'R-HSA-3359454', 'name': 'Defective TCN2 causes hereditary megaloblastic anemia'}, {'id': 'R-HSA-3359485', 'name': 'Defective CD320 causes methylmalonic aciduria'}, {'id': 'R-HSA-5668914', 'name': 'Diseases of metabolism'}]}",TCN2,
13,ENSG00000168646,8313,19.285475,axin 2,"{'reactome': [{'id': 'R-HSA-162582', 'name': 'Signal Transduction'}, {'id': 'R-HSA-195721', 'name': 'Signaling by WNT'}, {'id': 'R-HSA-201681', 'name': 'TCF dependent signaling in response to WNT'}, {'id': 'R-HSA-201722', 'name': 'Formation of the beta-catenin:TCF transactivating complex'}, {'id': 'R-HSA-392499', 'name': 'Metabolism of proteins'}, {'id': 'R-HSA-4411364', 'name': 'Binding of TCF/LEF:CTNNB1 to target gene promoters'}, {'id': 'R-HSA-4641257', 'name': 'Degradation of AXIN'}, {'id': 'R-HSA-5688426', 'name': 'Deubiquitination'}, {'id': 'R-HSA-5689880', 'name': 'Ub-specific processing proteases'}, {'id': 'R-HSA-597592', 'name': 'Post-translational protein modification'}]}",AXIN2,
18,ENSG00000143507,11221,20.14466,dual specificity phosphatase 10,"{'reactome': [{'id': 'R-HSA-112409', 'name': 'RAF-independent MAPK1/3 activation'}, {'id': 'R-HSA-1280215', 'name': 'Cytokine Signaling in Immune system'}, {'id': 'R-HSA-162582', 'name': 'Signal Transduction'}, {'id': 'R-HSA-168256', 'name': 'Immune System'}, {'id': 'R-HSA-5673001', 'name': 'RAF/MAP kinase cascade'}, {'id': 'R-HSA-5675221', 'name': 'Negative regulation of MAPK pathway'}, {'id': 'R-HSA-5683057', 'name': 'MAPK family signaling cascades'}, {'id': 'R-HSA-5684996', 'name': 'MAPK1/MAPK3 signaling'}, {'id': 'R-HSA-9607240', 'name': 'FLT3 Signaling'}]}",DUSP10,
